title,season,episode,date,lyrics,youtubeUrl,spotifyUrl,slug,seasonName,seasonOrder,isHomeFeatured
Bonne Humeur,Saison 1,1,18/2/2007,"On t'a connu t'étais partant, on t'a connu t'étais battant,
On t'a connu rêveur, on t'a connu winner,
On t'a connu t'étais looké, on t'a connu t'étais tatoué,
On t'a connu t'avais une crête, t'avais un aigle sur la tête,

Et depuis t'as perdu la foi,
Et depuis t'as perdu tes cheveux,
Et depuis t'as perdu tes potes,
Mais nous on est là pour dire queeeeee

T'as par perdu ta bonne humeur, meur, meur, meur, meur
T'as par perdu ta bonne humeur, meur, meur, meur, meur
Toujours le roi des déconneurs, neur, neur, neur, neur
T'a pas perdu ta bonne humeuuur

On t'a connu t'étais dragueur, on t'a connu t'étais flambeur,
On t'a connu marié, on t'a connu pédé,
On t'a connu dans les manifs, on t'a connu nu sur la plage,
On t'a connu plein d'astuces, on t'a connu ""faire ton fromage""

Et depuis t'as perdu tes dents,
Et depuis t'as perdu tes yeux,
Et depuis t'as perdu ta femme,
Mais nous on est là pour dire queeeeee

T'as par perdu ta bonne humeur, meur, meur, meur, meur
T'as par perdu ta bonne humeur, meur, meur, meur, meur
Toujours le roi des déconneurs, neur, neur, neur, neur
T'a pas perdu ta bonne humeuuur

Bonne humeur à la piscine, Bonne humeur à la cantine, Bonne humeur chez le proctologue, Bonne humeur à la pétanque, Bonne humeur aux tournois de bridge, Bonne humeur aux enterrements, Bonne humeur dans l'escalier, Bonne humeur dans l'ambulance, Bonne humeur aux Urgences, Bonne humeur au Casino, Bonne humeur au Super U, Bonne humeur chez le boulanger, Bonne humeur devant la télé, Bonne humeur à la messe, Bonne humeur malgré ta toux, Bonne humeur, t'as l'nez bouché et tu t'en fous...",https://www.youtube.com/watch?v=Bk7B0hsk_R0,https://open.spotify.com/track/0wJtWRtWUWJpsWTwpr1H9Z,bonne-humeur,Saison 1,1,
Bluetooth,Saison 1,2,25/2/2007,"Tu passes ta vie, ton temps, le jour, la nuit assis devant l'écran
Tu n'as besoin de personne, tu ne parles qu'au téléphone
Ça gagne du temps

Tu es rapide, tu cliques, tu joues, tu zappes, tu fais copier-coller
Et pour manger c'est facile, livraison à domicile
Ça gagne du temps

Moi je voudrais seulement parler avec toi
Mais tu ne peux pas, t'es branché, t'as quelque chose à terminer
Moi je voudrais tellement sortir avec toi
Mais tu ne réponds pas, ton portable est coupé, tu restes concentré
Et si je frappe à ta porte, j'insiste pour que tu sortes
Tu pousses un coup de gueule, t'enlèves tes verres teintés

Tu te transformes en laptop, tu te transformes en desktop
Tous les jours un peu plus myope, parfois tu tombes en syncope
Pense à t'hydrater

Tu passes ta vie, ton temps, le jour, la nuit assis devant l'écran
Des amis t'en as des tonnes, surtout sur myspace.com
C'est les plus marrants

Tu es habile, tu chat, t'as plein d'fenêtres ouvertes en même temps,
Pourtant la tienne est fermée, et ça sent le renfermé,
Dans ta chambre d'étudiant

Moi je voudrais seulement aller à la piscine
Mais tu ne peux pas, t'es pluggé, t'as un record à exploser

Moi je voudrais tellement devenir ta copine
Mais tu ne réponds pas, ton blog est en carafe, tu dois le debogger
Et si je frappe à ta porte, j'insiste pour que tu sortes
Tu pousses un coup de gueule, t'enlèves tes verres teintés

Tu te transformes en laptop, tu te transformes en desktop
Tous les jours un peu plus myope, parfois tu tombes en syncope
Pense à t'hydrater

T'as ouvert un email qui a planté ton Dell
Appelle Docteur Norton
T'as chopé un virus qui a pourri ton Asus
Appelle Docteur Norton

Et s'il est occupé, s'il ne peut pas t'aider
Alors cours à la Fnac, achète-toi Mac Afee

Tu te transformes en octet
Tu te transformes en smiley
Tu te transformes en souris
Tu te transformes en wifi
Tu te transformes en freebox
Tu te transformes en neufbox
Tu te transformes en modem
Tu te transformes en webcam
Tu te transformes en pop-up
Tu te transformes en excel
Tu te transformes en 15 pouces
Tu te transformes en bluetooth
Et maintenant t'as les dents bleues…",https://www.youtube.com/watch?v=RXYw-Q78iVA,,bluetooth,Saison 1,1,
Sunday Song,Saison 1,3,4/3/2007,"Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, c'est toute l'après-midi
Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, chante avec tes amis

J'ai pris le pick-up pour aller te chercher
Sacré nom d'un God, tu n'étais pas arrivée
Je fais un stop au snack, je prends un pancake, un café
Et un sandwich au bacon avarié

Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, c'est toute l'après-midi
Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, chante avec tes amis

Je passe au motel faire un smack à Marilou
Sacré nom d'un God, elle n'est pas au rendez-vous
Je visite l'oncle George, on ouvre une bouteille de whisky
On watch le match de catch à la TV

Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, c'est toute l'après-midi
Sunday song, my Sunday song, Sunday song, my Sunday song
Sunday song, chante avec tes amis

Sunday song dans l'escalier, Sunday song aux cabinets
Qu'est-ce que c'est fun de chanter du nez
Sunday song à la piscine, Sunday song à la cantine
Sunday song, c'est toute l'après-midi

Solo…",https://www.youtube.com/watch?v=qAA5bKdQ1EY,,sunday-song,Saison 1,1,
Comme un Lundi,Saison 1,4,11/3/2007,"Comment ça va ?
Comme un lundi
J'sais pas c'que j'ai
J'peux pas travailler
Un ptit café ?
Allez, c'est parti
Si c'est permis
C'est vendredi

Tu poses ton pod, t'allumes ton ptit lap top,
T'as ouvert pleins de docs, et maintenant tu tchates sur ton blog
Qu'est-ce t'as fait c'week end ? J'ai un peu bossé sur les specs…
Parle pas trop à ton voisin tu pues du bec !

Il est déjà 11h00, les depêches AFP par cœur,
T'as relu trois fois tous tes mails, t'as passé une heure sur Google,
Le chef passe dans le couloir, tu cliques la..n fenêtre retroplanning
Fini de bosser, on file à la cantine

En hélicoptère view, ta prez c'est carrément walhou
Le client est dans l'escalier pipote un coup !

Vous avez trouvé facilement, le business plan c'est win win
Pour les reco c'est go/no go, market feeling

Je veux du slide slide slide, montre-moi ton slide slide slide
Enlève ton slide slide slide, j'ai pas fait de slide slide slide
Pour la propale c'est à la louche, et pour les SWOT tu bottes en touche
Attention tu devrais fermer ta bouche, mais tu dis

Attention gauche, droite, en haut, en bas
Tu roules des hanches, tu fais trois pas
Le pied sur l'œil, l'oreille pliée
Tu fais un bond, tu tapes du nez
Tu plies les ailes, tu bats les pattes, t'es déchaînéééé et tu fais",https://www.youtube.com/watch?v=N1cExEillNk,,comme-un-lundi,Saison 1,1,
Plante un arbre,Saison 1,5,18/3/2007,"Plante un arbre, plante un arbre, plante un arbre
Plante un arbre, c'est la vie, oh yeah
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre, aujourd'hui, oh yeah
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre,
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre,
Plante un arbre, plante un arbre, plante un arbre
Tu le verras pousser, oh yeah

Tu fais du sport, c'est très bien
Tu fumes des clopes, c'est pas bien
T'apprends l'anglais, c'est très bien
Aux cabinets, c'est moins bien

Tu roules en Porsche, c'est très bien
Tu vas trop vite, pas bien
Tu fais pipi, c'est sympa
A le piscine, pas cool

Tu manges du Bio, c'est très bien
Au MacDo', t'as tout faux
Tu pique-niques, c'est très bien
T'appelles les flics, pas cool

Tu dis « Je t'aime », c'est très bien
Tu votes Le Pen, c'est pas bien
Tu montres tes fesses, c'est marrant
A la messe, c'est gênant

Plante un arbre, plante un arbre, plante un arbre
Plante un arbre, c'est la vie, oh yeah
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre, aujourd'hui, oh yeah
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre,
Plante un arbre, plante un arbre, plante un arbre
Plante un arbre,
Plante un arbre, plante un arbre, plante un arbre
Tu le verras pousser, c'est branché

Badoubadoumdamdimdoumdoubabadabadoubap, doubap
Badidoudadoudipdoupdadouwapdouzdadoudop, baaaladipdopdoubop
Doupdoubidouboudoubou, bdabadadapdap'pdapbadoudap
Badibouzapdipdeydizep, doupdapboudoubop",https://www.youtube.com/watch?v=OE6Ov7R4RwI&pp=0gcJCcUKAYcqIYzv,,plante-un-arbre,Saison 1,1,
Cash Money,Saison 1,6,25/3/2007,"L'argent facile, c'est difficile
Un peu c'est bien mais là c'est trop
T'as des hôtels, t'as des piscines
Tu te déplaces en hélico

Sur la Croisette, à Saint-Tropette
Tu fais la fête sur des bateaux
Un peu d'business en Mercedes
Un peu d'quequette chez Massimo

Les pauvres achètent à crédit
Le frigo et la fuego
Pour toi c'est des épiceries
Cofidis et Sofinco

Cash Money Money Money Cash Cash Money Money
Quand tu claques dans tes doigts
Cash Money Money Money Cash Cash Money Money
Tout le monde danse avec toi

Cash Money Money Money Cash Cash Money Money
L'argent n'est pas un problème
Cash Money Money Money Cash Cash Money Money
Tout le monde te dit je t'aime

Ta montre est suisse, ton compte est suisse
Te femme est suisse, tout le monde est suisse
Avion privé, soirée privée
Ecole privée, tout est privé

Au casino, tu claques du fric
Tu t'en fous c'est ton casino
Vive le pétrole, vive l'Amérique
Y'a du soleil sur Monaco

Les pauvres achètent à crédit
Le frigo et la fuego
Pour toi c'est des épiceries
Cofidis et Sofinco

REFRAIN

Champagne, Caviar, Bijou, Partouche,
Vuitton, Channel, Gstaad, Gucci,
Kenzo, Champs Elysées, Hollywood, Dubaï,
Shangaï, Saint-Barth, la fête, Bravo",https://www.youtube.com/watch?v=f24Nv4FzsfI&pp=0gcJCcUKAYcqIYzv,,cash-money,Saison 1,1,
T'as pas découvert le feu,Saison 1,7,1/4/2007,"T’as pas découvert le feu (x2)
T’as pas inventé la pluie (x2)
Reste où tu es, fais de ton mieux…..hey !

Tu regardes les infos, ooohoooohoooh
Ça n’est pas très rigolo, ooohhoooohhooh
D’après Laurent Romejko, oooohhoooohoooh
C’est pas beau la météo, ooohooohoooh

Après tout tu n’y peux rien (x2)
Toi tu tapes dans tes mains
Clap clap clap…hey !

T’as pas découvert le feu (x2)
T’as pas inventé la pluie (x2)
Reste où tu es, fais de ton mieux…..hey !

La planète est en danger, hééooohéoooh
D’après Nicola Hulet, héooohéooo
Si tu vas au supermarché, hooohéééhhoo
N’achète que des produits bio, hooohéééhhoo

Même si ça ne change rien (x2)
Toi tu tapes dans tes mains
Clap clap clap hey !

T’as pas découvert le feu (x2)
T’as pas inventé la pluie (x2)
Reste où tu es, fais de ton mieux… hey !

Le colza, tu dis oui
Ça marche pas mais tu dis oui
Le pétrole, tu dis non
C’est ben pratique mais tu dis non
Le PQ, tu dis oui
… ?...mais tu dis oui
Le vélo, tu dis oui
T’en fais pas mais tu dis oui
Déforestation, tu dis non
… ?... mais tu dis non
Couloir de bus, tu dis oui
C’est pas pratique mais tu dis oui
Les sacs en plastique, tu dis oui non non non
Les OGM tu dis oui
Le nucléaire, tu dis non
Mais t’en manges tout le temps !
Faire ton tri, tu dis oui
Faire ton tri, tu dis oui
Tu l’fais pas mais tu dis qu’si
Le nucléaire, tu dis oui
Tu l’as déjà dit aussi
La piscine, tu dis non
Ça n’a rien à voir mais tu dis non
Tu dis non ?! moi j’aime bien !

En tout cas…
Après tout tu n’y peux rien (x2)
Toi tu tapes dans tes mains
Clap clap clap…hey !

T’as pas découvert le feu (x2)
T’as pas inventé la pluie (x2)
Reste où tu es, fais de ton mieux...",https://www.youtube.com/watch?v=GiHiCmYD8SE,,tas-pas-decouvert-le-feu,Saison 1,1,
Dancing all the night,Saison 1,8,8/4/2007,"World is a flower
You can smell it
You can touch it
With your finger
You can put it in a vase

And if you don't know where you are
Look it up in the falling star
And let it drive you to the bar

You're a teenager
You drink you smoke
You pee you poo
Have a shower
You laugh you smile like a fool
And if you don't know what to say
Just keep it quiet for today
It will be for another day

Dancing all the night
Just like a dancing machine
Dancing all the night

Welcome to life
Welcome to you
Welcome to me
Welcome tonight
Welcome to all the people

And if you can't see in the dark
You have to listen to your heart
And it will drive you to the light

Do you speak english
Do you speak french
No sorry
Do you speak spanish
Do you speak dutch
No sorry

And if you don't speak any tongue
Don't forget you're not alone
You can always sing this song

Dancing all the night
Just like a dancing machine
Dancing all the night

I'm the man you're the woman
I'm the king you're the queen
I'm the tree you're the flower
I'm the rain you're the sun
I'm the snow you're the rainbow
I'm the left hand you're the right hand
I'm the left eye you're the right eye",https://www.youtube.com/watch?v=etC9Y97O6OM,,dancing-all-the-night,Saison 1,1,
À bas !,Saison 1,9,15/4/2007,"Toi tu crois que tous les gens s'aiment
Que tous les gens sont sympas
Toi tu crois que la vie est belle
Que c'est l'amour qui fait la loi

Toi tu fais fi des frontières
Toi tu fais fi des barrières
Mais si tu croises un rabat-joie
Là tu dis :

A bas tous les gou-gou les goujats
Tous les sou-sou les sournois
Tous les pi-pi les pisse-froid
Tous les ca-ca les casse-noix

Toi tu n'as pas peur de rêver
Toi tu n'as pas peur du monde entier
Toi tu n'as pas peur de sourire
Toi tu n'as pas peur de mourir

Toi tu fais fi des frontières
Toi tu fais fi des barrières
Mais si tu croises un rabat-joie
Là tu dis :

A bas tous les gou-gou les goujats
Tous les sou-sou les sournois
Tous les pi-pi les pisse-froid
Tous les ca-ca les casse-noix

Toi tu croques la vie car tel est ton chemin
Toi tu croques la vie car tel est ton destin
Et tu dis :

A bas tous les gou-gou les goujats
Tous les sou-sou les sournois
Tous les pi-pi les pisse-froid
Tous les ca-ca les casse-noix
Tous les bla-bla les blasés
Tous les fli-fli les flippés
Tous les mé-mé les mesquins
Tous les zé-zé les aigris
Tous les ron-ron les ronchons
Tous les bou-bou les bougons
Tous les ni-ni…",https://www.youtube.com/watch?v=raoIc86HTfI&pp=0gcJCcUKAYcqIYzv,,a-bas,Saison 1,1,
Tu votes,Saison 1,10,22/4/2007,"La politique ça t'intéresse, le sort des Français en dépend
Tu as lu un jour dans la presse un truc très très intéressant
Et même si tu ne t'en souviens plus, tu es vraiment très convaicant
Ah ça y est tu m'as convaincu, la politique c'est important

Tu votes utile, tu votes en touche
Tu votes pour le jazz manouche
Tu votes parce que c'est bien d'élire
Tu votes et ça te fait bien de rire

Tu votes facho, tu votes Sarko,
Tu votes banal, tu votes Royal,
Tu votes la haine, tu votes Le Pen
Tu votes tout mou, tu votes Bayrou,

Tu votes cambrousse, tu votes Nihous
Tu votes pâté, tu votes Bové
Tu votes pompette, tu votes Arlette
Tu votes propret, tu votes Voynet

La politique ça t'intéresse, faut dire que c'est très intéressant,
Y'a du pognon y'a du business, et plein d'autres trucs intéressants,
Et même si ça ne sert à rien, tu votes parce que tu le vaux bien
La politique ça t'intéresse, le sort des français en dépend

Tu votes utile, tu votes en touche
Tu votes pour le jazz manouche
Tu votes parce que c'est bien d'élire
Tu votes et ça te fait bien de rire

Tu votes facho, tu votes Sarko,
Tu votes banal, tu votes Royal,
Tu votes la haine, tu votes Le Pen
Tu votes tout mou, tu votes Bayrou,

Tu votes pourri, vote Schivardi
Tu votes teubé, vote De Villiers
Tu votes jeunot, vote Besancenot
Tu votes mémé, tu votes Buffet

Si tu n'as pas le temps de lire alors écoute cette chanson
La politique ça t'intéresse et même si t'as pas mal aux fesses…
T'as mal aux urnes…",https://www.youtube.com/watch?v=TZlnJ_HbxEs,,tu-votes,Saison 1,1,
Gardien de la paix,Saison 1,11,29/4/2007,"Je sais dire
Halamalé Halamalé, Halamalékoum, Shalom Alachem, Halekoum Salam, Shalom Alechem
Je sais dire
Halamalé Halamalé, Halamalékoum, Shalom Alachem, Halekoum Salam, Shalom Alechem

Car je suis
Gardien de la paix, gardien de la paix
Gardien de la paix, de la paix, de la paix, de la paix
Fais c'qu'il te plaît,

S'il te plaît tes papiers, jeune maghrébin,
Les jambes écartées, on fait moins le malin,

Je suis ton copain, ton copain, jeune maghrébin,
Je suis ton ami, ton ami, fumeur de teuchi,

Je suis cowboy, un cowboy, pas un Columbo,
Je suis un soldat, un soldat, un vrai G.I. Joe, je suis

Gardien de la paix, gardien de la paix
Gardien de la paix, de la paix, de la paix, de la paix

Et je sais dire,
Halamalé Halamalé, Halamalékoum, Shalom Alachem, Halakoum Salam, Shalom Alechem
Et je sais dire,
Halamalé Halamalé, Halamalékoum, Shalom Alachem, Halakoum Salam, Shalom Alechem

J'ai le pouvoir, le pouvoir, de tout décider,
J'ai le pouvoir, le pouvoir, de te taquiner,

J'ai le pouvoir, le pouvoir, de te faire une fouille,
J'ai le pouvoir, le pouvoir, de te tater les

Papiers, s'il te plaît, jeune maghrébin
Oh putain, putain la boulette, c'est le fils du roi marocain

On va vous escorter, votre altesseu royale
Veuillez bien agréer nos sentiments les plus cordials, nous on est

Gardien de la paix, gardien de la paix
Gardien de la paix, de la paix, de la paix,

Car on sait dire
Halamalé Halamalé, Halamalékoum, Shalom Alachem, Halekoum Salam, Shalom Alechem

Est-ce que tu consommes, tu consommes, occasionnellement
Est-ce que tu consommes, tu consommes, faut le dire maintenant

Sinon j'vais te mettre, j'vais te mettre, te mettre en garde à vue
Sinon j'vais te mettre, j'vais te mettre, un doigt dans le nez

Car je suis
Gardien de la paix, pas en Palestine, gardien de la paix, plutôt à la piscine
Gardien de la paix, c'est plus tranquille, gardien de la paix, pas à Jerusalem, gardien de la paix, plutôt dans le 16ième, gardien de la paix, c'est plus tranquille
Sinon tout le monde se tuerait, si je n'était pas gardien de la paix, du siège de l'UMP, sinon tout le monde se tuerait
Alors merci",https://www.youtube.com/watch?v=C-nViGKosyE,,gardien-de-la-paix,Saison 1,1,
